"SSMUMPS.Code.or.Value","SSMUMPS.Value.Description","SSMUMPS.Count","SSMUMPS.Cumulative","SSMUMPS.Skip.to.Item"
"1","Positive",4493,4493,NA
"2","Negative",230,4723,NA
"3","Indeterminate",149,4872,NA
"9","Quantity not sufficient",0,4872,NA
".","Missing",4,4876,NA
