"WBXF065.Code.or.Value","WBXF065.Value.Description","WBXF065.Count","WBXF065.Cumulative","WBXF065.Skip.to.Item"
"2378.4142 to 2378.4142","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
