"RFXC087.Code.or.Value","RFXC087.Value.Description","RFXC087.Count","RFXC087.Cumulative","RFXC087.Skip.to.Item"
"-7.575 to 4.556","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
