"PADMETS.Code.or.Value","PADMETS.Value.Description","PADMETS.Count","PADMETS.Cumulative","PADMETS.Skip.to.Item"
"2.5 to 10","Range of Values",12867,12867,NA
".","Missing",0,12867,NA
