"DXXTBSSV.Code.or.Value","DXXTBSSV.Value.Description","DXXTBSSV.Count","DXXTBSSV.Cumulative","DXXTBSSV.Skip.to.Item"
"0","Valid data",3681,3681,NA
"1","Invalid data",86,3767,NA
".","Missing",3953,7720,NA
