"OSQ120i.Code.or.Value","OSQ120i.Value.Description","OSQ120i.Count","OSQ120i.Cumulative","OSQ120i.Skip.to.Item"
"1","Yes",6,6,""
"2","No",3,9,"OSQ060"
"7","Refused",0,9,"OSQ060"
"9","Don't know",0,9,"OSQ060"
".","Missing",4970,4979,""
