"SSGI4C1.Code.or.Value","SSGI4C1.Value.Description","SSGI4C1.Count","SSGI4C1.Cumulative","SSGI4C1.Skip.to.Item"
"0 to 100000","Range of Values",896,896,NA
".","Missing",50,946,NA
