"DS2ISELE.Code.or.Value","DS2ISELE.Value.Description","DS2ISELE.Count","DS2ISELE.Cumulative","DS2ISELE.Skip.to.Item"
"1 to 800","Range of Values",1198,1198,NA
".","Missing",4450,5648,NA
