"HUQ050.Code.or.Value","HUQ050.Value.Description","HUQ050.Count","HUQ050.Cumulative","HUQ050.Skip.to.Item"
"0","None",1398,1398,""
"1","1",2039,3437,"HUQ071"
"2","2 to 3",3237,6674,"HUQ071"
"3","4 to 9",2626,9300,"HUQ071"
"4","10 to 12",635,9935,"HUQ071"
"5","13 or more",587,10522,"HUQ071"
"77","Refused",1,10523,"HUQ071"
"99","Don't know",14,10537,"HUQ071"
".","Missing",0,10537,""
