"DXXWDA.Code.or.Value","DXXWDA.Value.Description","DXXWDA.Count","DXXWDA.Cumulative","DXXWDA.Skip.to.Item"
"1.04 to 1.31","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
