"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1457,1457,NA
"2","No",6675,8132,NA
"7","Refused",5,8137,NA
"9","Don't know",27,8164,NA
".","Missing",1001,9165,NA
