"LBCF02.Code.or.Value","LBCF02.Value.Description","LBCF02.Count","LBCF02.Cumulative","LBCF02.Skip.to.Item"
"1.21 to 9.76","Range of Values",246,246,NA
".","Missing",18,264,NA
