"URDNOSLC.Code.or.Value","URDNOSLC.Value.Description","URDNOSLC.Count","URDNOSLC.Cumulative","URDNOSLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2570,2570,NA
".","Missing",186,2756,NA
