"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.18 to 160","Range of Values",1678,1678,NA
".","Missing",4016,5694,NA
