"LBDHPELC.Code.or.Value","LBDHPELC.Value.Description","LBDHPELC.Count","LBDHPELC.Cumulative","LBDHPELC.Skip.to.Item"
"0","detectable result",531,531,NA
"1","below detectable limit",1058,1589,NA
".","Missing",685,2274,NA
