"LB2FOL.Code.or.Value","LB2FOL.Value.Description","LB2FOL.Count","LB2FOL.Cumulative","LB2FOL.Skip.to.Item"
"2 to 95","Range of Values",546,546,NA
".","Missing",5,551,NA
