"URDCHSLC.Code.or.Value","URDCHSLC.Value.Description","URDCHSLC.Count","URDCHSLC.Cumulative","URDCHSLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2419,2419,NA
".","Missing",337,2756,NA
