"WHD080A.Code.or.Value","WHD080A.Value.Description","WHD080A.Count","WHD080A.Cumulative","WHD080A.Skip.to.Item"
"10","Ate less food (amount)",1644,1644,NA
"77","Refused",0,1644,NA
"99","Don't know",0,1644,NA
".","Missing",4495,6139,NA
