"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.2 to 359.1","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
