"DUQ380A.Code.or.Value","DUQ380A.Value.Description","DUQ380A.Count","DUQ380A.Cumulative","DUQ380A.Skip.to.Item"
"1","Cocaine",59,59,NA
"7","Refused",0,59,NA
"9","Don't know",1,60,NA
".","Missing",4565,4625,NA
