"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0 to 28.9","Range of Values",7944,7944,NA
".","Missing",1012,8956,NA
