"DS2TNIAC.Code.or.Value","DS2TNIAC.Value.Description","DS2TNIAC.Count","DS2TNIAC.Cumulative","DS2TNIAC.Skip.to.Item"
"0.078 to 1031.95","Range of Values",1171,1171,NA
".","Missing",8373,9544,NA
