"FSD032D.Code.or.Value","FSD032D.Value.Description","FSD032D.Count","FSD032D.Cumulative","FSD032D.Skip.to.Item"
"1","Often true",300,300,NA
"2","Sometimes true",835,1135,NA
"3","Never true",5589,6724,NA
"7","Refused",7,6731,NA
"9","Don't know",19,6750,NA
".","Missing",3787,10537,NA
