"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 85","Range of Values",1139,1139,NA
"666","No response",0,1139,NA
"888","Could not obtain",4,1143,NA
".","Missing",67,1210,NA
