"LBXEND.Code.or.Value","LBXEND.Value.Description","LBXEND.Count","LBXEND.Cumulative","LBXEND.Skip.to.Item"
"0.019 to 0.075","Range of Values",2187,2187,NA
".","Missing",360,2547,NA
