"DS2TPHOS.Code.or.Value","DS2TPHOS.Value.Description","DS2TPHOS.Count","DS2TPHOS.Cumulative","DS2TPHOS.Skip.to.Item"
"5.5 to 900","Range of Values",1003,1003,NA
".","Missing",9250,10253,NA
