"LBDBSESI.Code.or.Value","LBDBSESI.Value.Description","LBDBSESI.Count","LBDBSESI.Cumulative","LBDBSESI.Skip.to.Item"
"0.75 to 5.32","Range of Values",4987,4987,NA
".","Missing",828,5815,NA
