"PAXUMD.Code.or.Value","PAXUMD.Value.Description","PAXUMD.Count","PAXUMD.Cumulative","PAXUMD.Skip.to.Item"
"0 to 288","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
