"RFXC083.Code.or.Value","RFXC083.Value.Description","RFXC083.Count","RFXC083.Cumulative","RFXC083.Skip.to.Item"
"-6.042 to 4.346","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
