"DEX2PSFH.Code.or.Value","DEX2PSFH.Value.Description","DEX2PSFH.Count","DEX2PSFH.Cumulative","DEX2PSFH.Skip.to.Item"
"1","Present",53,53,NA
".","Missing",2939,2992,NA
