"DRXTKCAL.Code.or.Value","DRXTKCAL.Value.Description","DRXTKCAL.Count","DRXTKCAL.Cumulative","DRXTKCAL.Skip.to.Item"
"0 to 9656.67","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
