"SMQ666K.Code.or.Value","SMQ666K.Value.Description","SMQ666K.Count","SMQ666K.Cumulative","SMQ666K.Skip.to.Item"
"1","Regulars",11,11,NA
"2","Lights",3,14,NA
"3","Ultralights",0,14,NA
"7","Refused",0,14,NA
"9","Don't know",0,14,NA
".","Missing",6976,6990,NA
