"URXMHP.Code.or.Value","URXMHP.Value.Description","URXMHP.Count","URXMHP.Cumulative","URXMHP.Skip.to.Item"
"0.35 to 160.3","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
