"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.2 to 16920","Range of Values",8374,8374,NA
".","Missing",273,8647,NA
