"MCQ148.Code.or.Value","MCQ148.Value.Description","MCQ148.Count","MCQ148.Cumulative","MCQ148.Skip.to.Item"
"9 to 11","Range of Values",32,32,NA
"7777","Refused",0,32,NA
"9999","Don't know",0,32,NA
".","Missing",9461,9493,NA
