"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 20","Range of Values",118,118,NA
"77","Refused",0,118,NA
"99","Don't know",1,119,NA
".","Missing",3746,3865,NA
