"DBD041.Code.or.Value","DBD041.Value.Description","DBD041.Count","DBD041.Cumulative","DBD041.Skip.to.Item"
"1 to 730","Range of Values",1720,1720,""
"0","Never",197,1917,"DBD055"
"777777","Refused",1,1918,""
"999999","Don't know",9,1927,""
".","Missing",8610,10537,""
