"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 53.04","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
