"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"1.71 to 220.59","Range of Values",6487,6487,NA
".","Missing",503,6990,NA
