"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",1011,1011,""
"2","No",3470,4481,"DRD350C"
".","Missing",5772,10253,""
