"SSEMEAL.Code.or.Value","SSEMEAL.Value.Description","SSEMEAL.Count","SSEMEAL.Cumulative","SSEMEAL.Skip.to.Item"
"0","At or above the detection limit",1787,1787,NA
"1","Below lower detection limit",599,2386,NA
".","Missing",50,2436,NA
