"WBXP055.Code.or.Value","WBXP055.Value.Description","WBXP055.Count","WBXP055.Cumulative","WBXP055.Skip.to.Item"
"-94.5019 to 149.2723","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
