"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.03 to 10.09","Range of Values",2652,2652,NA
".","Missing",152,2804,NA
