"UR2UMASI.Code.or.Value","UR2UMASI.Value.Description","UR2UMASI.Count","UR2UMASI.Cumulative","UR2UMASI.Skip.to.Item"
"0.5 to 3340","Range of Values",549,549,NA
".","Missing",6,555,NA
