"DXXRRA.Code.or.Value","DXXRRA.Value.Description","DXXRRA.Count","DXXRRA.Cumulative","DXXRRA.Skip.to.Item"
"42.66 to 265.74","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
