"LBXVE3MS.Code.or.Value","LBXVE3MS.Value.Description","LBXVE3MS.Count","LBXVE3MS.Cumulative","LBXVE3MS.Skip.to.Item"
"1.16 to 69.9","Range of Values",8344,8344,NA
".","Missing",1078,9422,NA
