"WBXA053.Code.or.Value","WBXA053.Value.Description","WBXA053.Count","WBXA053.Cumulative","WBXA053.Skip.to.Item"
"-3.7095 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
