"DXXL1BMC.Code.or.Value","DXXL1BMC.Value.Description","DXXL1BMC.Count","DXXL1BMC.Cumulative","DXXL1BMC.Skip.to.Item"
"2.07 to 33.06","Range of Values",6389,6389,NA
".","Missing",1345,7734,NA
