"BAXPFC42.Code.or.Value","BAXPFC42.Value.Description","BAXPFC42.Count","BAXPFC42.Cumulative","BAXPFC42.Skip.to.Item"
"1","Pass",328,328,"End of Section"
"2","Dnp(did not pass)",932,1260,""
".","Missing",1924,3184,""
