"DEQ6FHFO.Code.or.Value","DEQ6FHFO.Value.Description","DEQ6FHFO.Count","DEQ6FHFO.Cumulative","DEQ6FHFO.Skip.to.Item"
"1","Present",2,2,NA
".","Missing",2990,2992,NA
