"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",27,27,""
"2","No",5094,5121,"DRD370T"
".","Missing",4692,9813,""
