"URDPTULC.Code.or.Value","URDPTULC.Value.Description","URDPTULC.Count","URDPTULC.Cumulative","URDPTULC.Skip.to.Item"
"0","At or above the detection limit",3,3,NA
"1","Below lower detection limit",2453,2456,NA
".","Missing",156,2612,NA
