"BAXFTC31.Code.or.Value","BAXFTC31.Value.Description","BAXFTC31.Count","BAXFTC31.Cumulative","BAXFTC31.Skip.to.Item"
"0 to 26","Range of Values",53,53,NA
".","Missing",3131,3184,NA
