"LBXDFS.Code.or.Value","LBXDFS.Value.Description","LBXDFS.Count","LBXDFS.Cumulative","LBXDFS.Skip.to.Item"
"0.11 to 9.02","Range of Values",902,902,NA
".","Missing",183,1085,NA
