"LBCBR9.Code.or.Value","LBCBR9.Value.Description","LBCBR9.Count","LBCBR9.Cumulative","LBCBR9.Skip.to.Item"
"1.8 to 75.7","Range of Values",247,247,NA
".","Missing",0,247,NA
