"LBXGTC.Code.or.Value","LBXGTC.Value.Description","LBXGTC.Count","LBXGTC.Cumulative","LBXGTC.Skip.to.Item"
"7.57 to 2277.4","Range of Values",6430,6430,NA
".","Missing",2402,8832,NA
