"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.36 to 43.55","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
