"BPQ040D.Code.or.Value","BPQ040D.Value.Description","BPQ040D.Count","BPQ040D.Cumulative","BPQ040D.Skip.to.Item"
"1","Yes",995,995,NA
"2","No",679,1674,NA
"7","Refused",0,1674,NA
"9","Don't know",7,1681,NA
".","Missing",4953,6634,NA
