"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.14 to 860","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
