"URDTIME1.Code.or.Value","URDTIME1.Value.Description","URDTIME1.Count","URDTIME1.Cumulative","URDTIME1.Skip.to.Item"
"11 to 1606","Range of Values",6835,6835,NA
".","Missing",1773,8608,NA
