"CBQ698a.Code.or.Value","CBQ698a.Value.Description","CBQ698a.Count","CBQ698a.Cumulative","CBQ698a.Skip.to.Item"
"1","I don't have time",78,78,NA
"77","Refused",0,78,NA
"99","Don't know",4,82,NA
".","Missing",2863,2945,NA
