"FSD032B.Code.or.Value","FSD032B.Value.Description","FSD032B.Count","FSD032B.Cumulative","FSD032B.Skip.to.Item"
"1","Often true",797,797,NA
"2","Sometimes true",1877,2674,NA
"3","Never true",7027,9701,NA
"7","Refused",7,9708,NA
"9","Don't know",7,9715,NA
".","Missing",41,9756,NA
