"PFD069P.Code.or.Value","PFD069P.Value.Description","PFD069P.Count","PFD069P.Cumulative","PFD069P.Skip.to.Item"
"61 to 31046","Range of Values",140,140,NA
"66666","Since birth",6,146,NA
"77777","Refused",0,146,NA
"99999","Don't know",2,148,NA
".","Missing",9674,9822,NA
