"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 297","Range of Values",2501,2501,NA
".","Missing",104,2605,NA
